Company,Primary Sector,Tags,Short Description,Country,Region,Date,Quarter,Amount ($),Investment Type,TPIC,Corp Investor?,Investor 1,Investor 2,Investor 3,Investor 4,Investor 5,Investor 6,Investor 7,Investor 8,Investor 9,Investor 10,Investor 11,Investor 12,Investor 13
ISI Technology,Water & Wastewater,"Commercial Buildings,Efficient Devices,Efficient Heating & Cooling,Efficient Motors & Equipment,Energy Efficiency,Hardware,Industrial Efficiency,Residential/Commercial Water,Smart Buildings,Water & Wastewater,Water Conservation,Water Technology Vendor",Developer of tankless electric water heaters,United States,North America,2014/02/20,1Q14,"$2,000,000",Seed,"$3,446,000",No,,,,,,,,,,,,,
Measurabl,Other Cleantech,"Cleanweb,Other Cleantech,Software",Developer of web-based sustainability reporting software,United States,North America,2014/09/02,3Q14,"$2,000,000",Seed,"$2,600,000",No,Crosscut Ventures,,,,,,,,,,,,
Olygose,Agriculture & Food,"Agriculture & Food,Food Processing",Performer of research and extraction of dietary fibres from plants and grains,France,Europe & Israel,2014/12/22,4Q14,"$6,130,000",Growth Equity,"$8,730,000",No,Emertec,Vives SA,CapAgro,,,,,,,,,,
PetroDE,Conventional Fuels,"Conventional Fuels,Data Analytics,Digital Oilfield,Exploration & Geoscience,Oil & Gas,Seismicity & Imaging,Software,Workflow & Knowledge Management",Developer of decision engine cloud software for the oil & gas industry,United States,North America,2014/02/04,1Q14,"$2,000,000",Seed,"$2,000,000",No,Catamount Ventures,"GABA, LLC","JES, inc.",,,,,,,,,,
Revolution Fuels,Biofuels & Biochemicals,"Animal Fats,Biodiesel,Biofuel Conversion,Biofuels & Biochemicals,Chemical/Catalytic Conversion,Hardware,Industrial Biotech,Oils,Operation & Maintenance (O&M),Services,Transesterification,Vegetable Oils,Waste Oils",Developer of mobile biodiesel production technology,United States,North America,2014/03/21,1Q14,"$2,000,000",Series A,"$2,000,000",Yes,Liberation Capital,Cargill,,,,,,,,,,,
Schedulers Logistics,Agriculture & Food,"Agriculture & Food,Food Transportation,Services",Provider of cold storage and transportation services for the Indian agricultural market,India,Asia Pacific,2014/06/10,2Q14,"$2,000,000",Series A,"$2,000,000",No,Aspada Investments,,,,,,,,,,,,
XF Technologies,Biofuels & Biochemicals,"Agricultural Residue,Biochemical Deconstruction,Biochemicals,Biofuels & Biochemicals,Biomass Deconstruction,Cellulosic Biomass,Drop-in Fuels,Forest Residue,Gasoline,Industrial Biotech,Jet Fuel,Renewable Diesel,Thermal Deconstruction","Developer of technology that converts waste biomass into fuel, additives, petrochemical replacements and specialty chemicals",United States,North America,2014/02/24,1Q14,"$2,000,000",Growth Equity,"$3,739,000",No,Cottonwood Technology Group,Sun Mountain Capital,,,,,,,,,,,
Yan Engines,Transportation,"Conventional Fuel Vehicles,Engines,Hardware,Transportation,Vehicle Components",Developer of fuel efficient ICE components,United States,North America,2014/05/28,2Q14,"$2,000,000",Series A,"$2,000,000",No,New Energy Holdings,,,,,,,,,,,,
Allfresh,Agriculture & Food,"Agriculture & Food,Crop Types,Crops,Services,Specialty Crops,Supply Chain Tracking",Service provider along the entire fruit industry vertical,India,Asia Pacific,2014/09/29,3Q14,"$1,950,000",Series A,"$1,950,000",No,Aspada Investments,,,,,,,,,,,,
Greenlux,Energy Efficiency,"Energy Efficiency,Lighting",Manufacturer of LED luminaries for parking garages,Finland,Europe & Israel,2014/09/17,3Q14,"$1,935,000",Growth Equity,"$1,935,000",No,LVS-Capital,,,,,,,,,,,,
PodPonics,Agriculture & Food,"Agriculture & Food,Crops,Hardware,Indoor Cultivation Systems,Local Food Sourcing","Provider of innovative local agriculture produce growing solutions by re-purposing recycled shipping containers as ""Grow Pods""",United States,North America,2014/09/18,3Q14,"$1,930,000",Series A,"$7,405,000",No,,,,,,,,,,,,,
Fulcrum SP Materials Ltd.,Advanced Materials,"Advanced Materials,Carbon Nanotubes,Fullerenes,Nanomaterials","developer of nanotechnology composite to create stronger, lighter and more cost effective composite materials products",Israel,Europe & Israel,2014/06/01,2Q14,"$1,900,000",Series B,"$4,900,000",No,Docor International Management,Consolidated Investment Group,iNetworks 360,L&S Venture Capital,,,,,,,,,
Understory,Agriculture & Food,"Agriculture & Food,Crops,Hardware,Precision Agriculture,Weather & Climate",Developer of ground-based weather stations,United States,North America,2014/04/30,2Q14,"$1,900,000",Seed,"$1,900,000",No,SK Ventures,RRE Ventures,True Ventures,The Vegas Tech Fund,,,,,,,,,
Omni Water Solutions,Water & Wastewater,"Conventional Fuels,Hardware,Industrial Water,Oil & Gas,Produced Water,Water & Wastewater,Water Reclamation / Reuse,Water Technology Vendor",Developer of mobile water treatment systems for contaminated water,United States,North America,2014/12/29,4Q14,"$4,600,000",Growth Equity,"$21,704,000",No,,,,,,,,,,,,,
Finally,Energy Efficiency,"Energy Efficiency,Hardware,Lighting,Smart Buildings,Smart Home",Provider of efficient light bulb technology,United States,North America,2014/08/19,3Q14,"$1,856,000",Series B,"$23,391,000",No,,,,,,,,,,,,,
Omni Water Solutions,Water & Wastewater,"Conventional Fuels,Hardware,Industrial Water,Oil & Gas,Produced Water,Water & Wastewater,Water Reclamation / Reuse,Water Technology Vendor",Developer of mobile water treatment systems for contaminated water,United States,North America,2014/07/30,3Q14,"$1,850,000",Growth Equity,"$21,704,000",No,,,,,,,,,,,,,
Algal Scientific Corporation,Water & Wastewater,"Industrial Water,Municipal/Utility Water,Wastewater Resource Recovery,Wastewater Treatment,Water & Wastewater,Water Technology Vendor","Developer of advanced wastewater treatment systems using proprietary algal strains, which also produce biomass as a byproduct",United States,North America,2014/04/25,2Q14,"$1,831,963",Series A,"$3,081,963",Yes,Independence Equity,Evonik Venture Capital,Formation 8,,,,,,,,,,
EnEvolv,Biofuels & Biochemicals,"Biofuels & Biochemicals,Biotechnology Developer,Genetic Engineering,Industrial Biotech,Process Development","Developer of a genome engineering platform to produce chemicals, enzymes, and small molecules for variety of industries including specialty chemicals, food, and energy",United States,North America,2014/02/20,1Q14,"$1,795,000",Series A,"$1,795,000",No,Cultivian Ventures,Sandbox Industries,,,,,,,,,,,
OneEnergy Renewables,Other Cleantech,"Other Cleantech,Services,Systems Integration","Developer of  large-scale clean energy projects for utility, corporate, and institutional clients",United States,North America,2014/10/15,4Q14,"$5,000,000",Series B,"$8,124,049",No,Ecosystem Integrity Fund,Element 8,,,,,,,,,,,
Orion Support Services,Recycling & Waste,"Recycling & Waste,Services",Provider of general waste and recycling services and specialist cleaning services to businesses,United Kingdom,Europe & Israel,2014/07/07,3Q14,"$1,710,000",Series A,"$1,710,000",No,Foresight Group,,,,,,,,,,,,
Clearwater Systems Corporation,Water & Wastewater,"Disinfection,Electric Current Treatment,Industrial Water,Services,Wastewater Treatment,Water & Wastewater,Water Reclamation / Reuse,Water Technology Vendor","provider of technology and services that enable building operators to lower total operating costs by reducing water, energy and chemical consumption in facilities",United States,North America,2014/04/30,2Q14,"$1,700,000",Seed,"$5,000,000",No,various,,,,,,,,,,,,
Jibo,Energy Efficiency,"Energy Efficiency,Hardware,Software",Producer of a personal assistant family robot,United States,North America,2014/08/15,3Q14,"$1,700,000",Seed,"$1,700,000",No,Indiegogo,,,,,,,,,,,,
Zuli,Energy Efficiency,"Cleanweb,Energy Efficiency,Hardware,Home Automation,Internet of Things,Lighting,Smart Buildings,Smart Home,Smart Plugs,Software",Developer of smart phone-enabled home energy and lighting control technology,United States,North America,2014/08/27,3Q14,"$1,650,000",Seed,"$1,825,000",Yes,Menlo Ventures,Winklevoss Capital,Logitech,DeNa,XG Ventures,Stephen Stokols,Hossein Eslambolchi,,,,,,
Aqylon,Energy Efficiency,"Energy Efficiency,Hardware,Solar,Solar Thermal",designer and manufacturer of tailor-made power block that uses renewable heat sources or industrial heat waste to generate electricity ,France,Europe & Israel,2014/07/09,3Q14,"$1,630,000",Series A,"$1,630,000",No,Business Angels des Grandes Ecoles,,,,,,,,,,,,
Graphene Frontiers,Advanced Materials,"Advanced Materials,Electronics,Fullerenes,Graphene,Hardware,Medical Devices,Nanomaterials,Sensors",Manufacturer of commercial-grade sheet graphene,United States,North America,2014/07/21,3Q14,"$1,600,000",Seed,"$1,600,000",No,WEMBA 36 Angels,R2M Investments,,,,,,,,,,,
Optimatics,Water & Wastewater,"Cleanweb,Infrastructure Management / Optimization,Municipal/Utility Water,Smart Water,Water & Wastewater,Water Technology Vendor",Provides optimization technology and software to improve efficiencies in water distribution systems and wastewater collection systems.,Australia,Asia Pacific,2014/12/02,4Q14,,Growth Equity,,No,Emerald Technology Ventures,,,,,,,,,,,,
TM3 Systems,Smart Grid,"Hardware,Power Grid,Smart Grid","Manufacturer of smart, portable microgrid products for use in off-grid power markets such as defence, remote industry, and developing nations",United States,North America,2014/09/05,3Q14,"$1,600,000",Series A,"$1,600,000",No,,,,,,,,,,,,,
Yidian Car Rental,Transportation,"Car Rental,Transportation",Developer of a web-based self-service private car rental platform,China,Asia Pacific,2014/08/12,3Q14,"$1,600,000",Growth Equity,"$1,600,000",No,Beijing Mainstreet Investment Group Corp,,,,,,,,,,,,
Rational Energies,Recycling & Waste,"Agricultural Waste,Biodiesel,Biofuel Production,Gasification,Municipal Solid Waste,Recycling & Waste,Thermochemical Process,Waste to Energy","Producer of sustainable transportation fuels from non-food based, low cost waste materials recovered from garbage",United States,North America,2014/04/10,2Q14,"$1,575,000",Growth Equity,"$8,323,500",No,,,,,,,,,,,,,
Optoro,Recycling & Waste,"Marketplace,Recycling & Waste,Services,Software,Waste Disposal,Waste Management,Web-Based Recycling",Provider of asset recovery solutions for the distressed inventory of online retailers,United States,North America,2014/12/10,4Q14,"$50,000,000",Series B,"$59,350,000",No,Generation Investment Management,Kleiner Perkins Caufield & Byers (KPCB),Grotech Ventures,Revolution Ventures,SWaN & Legend Venture Partners,,,,,,,,
Nano-Nouvelle,Energy Storage,"Anodes,Batteries,Coatings,Electrochemical Storage,Electronics,Energy Storage,Hardware,Inverters,Nanomaterials,Thin Film","Developing products for our 3D nano-porous conductive membrane, for energy, environmental, chemical and biomedical applications",Australia,Asia Pacific,2014/01/31,1Q14,"$1,522,000",Series B,"$3,122,000",No,Terra Rossa Capital,private investors,,,,,,,,,,,
Ottomatika,Transportation,Transportation,Stealth-mode autonomous vehicle software developer,United States,North America,2014/11/17,4Q14,"$2,256,000",Seed,"$2,256,000",No,,,,,,,,,,,,,
B4C Technologies,Advanced Materials,"Advanced Materials,Metals / Alloys",Developer of a Boron Diffusion Process to help extend the life of metal parts in the harshest abrasive and corrosive conditions,United States,North America,2014/01/09,1Q14,"$1,500,000",Series A,"$1,500,000",No,,,,,,,,,,,,,
Oxymem,Water & Wastewater,"Hardware,Wastewater Treatment,Water & Wastewater,Water Technology Vendor","Manufacturer of the Membrane Aerated Biofilm Reactor (MABR), a technology based on bubble-less wastewater aeration system",Ireland,Europe & Israel,2014/12/24,4Q14,"$390,000",Series A,"$1,811,000",No,Merrion Stockbrokers,Gerard Kervick,Rory Murphy,Martin Haugh,,,,,,,,,
Changers,Solar,"Hardware,Solar","Developer of portable off-grid solar system, which can be used to charge nearly any mobile electronic device on the market",Germany,Europe & Israel,2014/01/28,1Q14,"$1,500,000",Series A,"$1,500,000",Yes,Heliocentris Energy Solutions,bmp Beteiligungsmanagement,,,,,,,,,,,
Enchanted Rock,Other Cleantech,"Conventional Fuels,Energy Storage,Other Cleantech,Services","Developer of distributed energy generation and storage solutions based on hybridized diesel gensets, energy storage, and renewable power",United States,North America,2014/03/12,1Q14,"$1,500,000",Series A,"$1,500,000",No,,,,,,,,,,,,,
Engineered Propulsion Systems,Transportation,"Airplanes & Aviation,Conventional Fuel Vehicles,Engines,Hardware,Internal Combustion,Transportation,Vehicle Components","Developer of a lightweight, more efficient general aviation engine capable of running on jet fuel or diesel fuel",United States,North America,2014/03/26,1Q14,"$1,500,000",Growth Equity,"$7,860,679",No,,,,,,,,,,,,,
Helion Energy,Nuclear,"Hardware,Nuclear,Nuclear Fusion",Developer of fusion energy technology,United States,North America,2014/07/29,3Q14,"$1,500,000",Seed,"$1,500,000",No,Mithril Capital Management,Y Combinator,,,,,,,,,,,
IntelliView,Conventional Fuels,"Asset Tracking,Conventional Fuels,Digital Oilfield,Networking & Communication,Oil & Gas,Pipeline / Storage,Pipeline / Storage Monitoring",Developer of pipeline monitoring and leak detection technology for the oil & gas industry,Canada,North America,2014/01/28,1Q14,"$1,500,000",Growth Equity,"$1,500,000",Yes,Enbridge,,,,,,,,,,,,
Kultevat,Biofuels & Biochemicals,"Biofuels & Biochemicals,Hardware,Industrial Biotech",Developer of synthetic rubber from plant-based oils,United States,North America,2014/02/13,1Q14,"$1,500,000",Series A,"$1,500,000",No,Open Prairie Ventures,MacroGain Partners,,,,,,,,,,,
Persimmon Technologies,Advanced Materials,"Advanced Materials,Energy Efficiency,Hardware,Lighting,Midstream PV,PV Manufacturing Capital Equipment,Photovoltaics (PV),Solar","Provider of manufacturing equipment to the semiconductor, LED, flat panel display, and solar industries",United States,North America,2014/03/06,1Q14,"$1,500,000",Series B,"$19,046,463",Yes,ABB Technology Ventures,Berwind Private Equity,,,,,,,,,,,
SAFCell,Fuel Cells & Hydrogen,"Fuel Cells & Hydrogen,Hardware",Developer of solid acid fuel cells for portable and stationary power applications,United States,North America,2014/04/25,2Q14,"$1,500,000",Series B,"$5,000,000",No,Northwater Capital Management,,,,,,,,,,,,
Parkifi,Transportation,"Parking Management,Transportation,Transportation Software",Developer of software to provide realtime occupancy data to parking managers,United States,North America,2014/11/21,4Q14,"$1,000,000",Seed,"$1,000,000",No,,,,,,,,,,,,,
SheerWind,Wind,"Hardware,Turbine / Component Manufacturing,Wind","SheerWind is changing the course of power generation by offering affordable wind power to anyone, anywhere.",United States,North America,2014/01/01,1Q14,"$1,480,316",Seed,"$2,791,605",No,"Board, Management, Friends, Partners",,,,,,,,,,,,
cycleWood Solutions,Recycling & Waste,"Biodegradable Products,Plastics,Recycling & Waste","Developer of a compostable thermoplastic replacement for plastic bags, bottles, and other consumer products",United States,North America,2014/02/06,1Q14,"$1,450,000",Series A,"$2,000,000",No,Trailblazer Capital,,,,,,,,,,,,
Inpria,Advanced Materials,"Advanced Manufacturing,Advanced Materials,Films,Hardware,Nanomaterials",Developer of technology for thin-film materials deposition with applications in multiple manufacturing industries,United States,North America,2014/06/19,2Q14,"$1,450,000",Series B,"$6,100,000",No,Oregon Angel Fund,,,,,,,,,,,,
Phononic,Energy Efficiency,"Commercial Buildings,Efficient Heating & Cooling,Energy Efficiency,Global Cleantech 100 (2013),HVACR,Hardware,Smart Buildings","producer of solid-state heat pumps and fully integrated systems that displace compressors for residential and commercial refrigeration, room air conditioning, and heating",United States,North America,2014/12/17,4Q14,"$44,500,000",Growth Equity,"$93,900,000",No,Eastwood Capital,Wellcome Trust,WLR China Energy Infrastructure Fund,Tsing Capital,Venrock,Oak Investment Partners,REX Health Investors,,,,,,
AgSquared,Agriculture & Food,"Agriculture & Food,Agriculture Software,Crops,Local Food Sourcing,Software","Developer of online farm management software enabling small, local farms to better manage their businesses",United States,North America,2014/01/14,1Q14,"$1,405,182",Series A,"$1,405,182",No,,,,,,,,,,,,,
